Subject	Language	AgeGroup	Group	Trial	ID	Type	SpatialRelation	TargetPic	ContrastPic	CompPic	DistrPic	Pic1Position	Pic2Position	Pic3Position	Pic4Position	TrialStartTime	PreviewTime	ArrowTime	VisualDisplayTime	NoiseDisplayTime	TrialEndTime	ReactionTime
51	3	1	1	83	54	FBE	on	f_envelope_bracelet_on.jpg	f_envelope_bracelet_front.jpg	f_envelope_bracelet_behind.jpg	f_envelope_bracelet_in.jpg	8	7	9	6	948000	950016	951032	951565	953581	960624	7038
51	3	1	1	36	55	FC	behind	f_mug_scissorssmall_behind.jpg	f_mug_scissorssmall_left.jpg	f_mug_scissorssmall_right.jpg	f_mug_scissorssmall_on.jpg	8	6	7	9	960945	962961	963978	964511	966527	972720	6189
51	3	1	1	75	56	FBE	front	f_slipper_parfumeblack_front.jpg	f_slipper_parfumeblack_behind.jpg	f_slipper_parfumeblack_on.jpg	f_slipper_parfumeblack_in.jpg	6	7	8	9	972991	975007	976024	976557	978573	985326	6746
51	3	1	1	10	57	EC	right	c_plantpot_iphone_right.jpg	c_plantpot_iphone_left.jpg	c_plantpot_iphone_front.jpg	c_plantpot_iphone_on.jpg	6	7	9	8	985603	987619	988636	989169	991185	998406	7217
51	3	1	1	79	58	FBE	behind	f_pan_spatula1wooden_behind.jpg	f_pan_spatula1wooden_front.jpg	f_pan_spatula1wooden_on.jpg	f_pan_spatula1wooden_in.jpg	8	7	6	9	998682	1000698	1001715	1002248	1004264	1011680	7412
51	3	1	1	9	59	EC	left	c_bowl_rulerwooden_left.jpg	c_bowl_rulerwooden_right.jpg	c_bowl_rulerwooden_behind.jpg	c_bowl_rulerwooden_on.jpg	9	8	7	6	1012011	1014027	1015043	1015576	1017592	1023523	5925
51	3	1	1	59	60	FN	in	f_envelope_metalkey_in.jpg	f_envelope_metalkey_right.jpg	f_envelope_metalkey_behind.jpg	f_envelope_metalkey_on.jpg	7	8	9	6	1023823	1025839	1026856	1027389	1029405	1035510	6100
51	3	1	1	33	61	FC	front	f_book_pacifier_front.jpg	f_book_pacifier_left.jpg	f_book_pacifier_right.jpg	f_book_pacifier_on.jpg	9	7	8	6	1035869	1037885	1038968	1039501	1041517	1047314	5792
51	3	1	1	14	62	EC	right	c_moneybox_stone_right.jpg	c_moneybox_stone_left.jpg	c_moneybox_stone_front.jpg	c_moneybox_stone_on.jpg	8	6	9	7	1047615	1049631	1050647	1051181	1053196	1059404	6202
51	3	1	1	57	63	FN	behind	f_hat_umbrella2green_behind.jpg	f_hat_umbrella2green_right.jpg	f_hat_umbrella2green_on.jpg	f_hat_umbrella2green_in.jpg	6	8	9	7	1059711	1061727	1062743	1063276	1065292	1071564	6267
51	3	1	1	68	64	FBI	on	f_tray_candlesmall_on.jpg	f_tray_candlesmall_right.jpg	f_tray_candlesmall_front.jpg	f_tray_candlesmall_behind.jpg	9	7	8	6	1071890	1073906	1074922	1075455	1077471	1082474	4997
51	3	1	1	16	65	EC	left	c_basket_toiletpaper_left.jpg	c_basket_toiletpaper_right.jpg	c_basket_toiletpaper_front.jpg	c_basket_toiletpaper_in.jpg	7	9	8	6	1082803	1084819	1085835	1086368	1088384	1094233	5844
51	3	1	1	76	66	FBE	front	f_hat_notebook2orange_front.jpg	f_hat_notebook2orange_behind.jpg	f_hat_notebook2orange_on.jpg	f_hat_notebook2orange_in.jpg	7	6	9	8	1094549	1096565	1097581	1098114	1100133	1105884	5745
51	3	1	1	62	67	FBI	on	f_book_duster_on.jpg	f_book_duster_left.jpg	f_book_duster_front.jpg	f_book_duster_behind.jpg	9	6	7	8	1106211	1108227	1109243	1109777	1111793	1120843	9047
51	3	1	1	13	68	EC	right	c_jar_screwdriver_right.jpg	c_jar_screwdriver_left.jpg	c_jar_screwdriver_behind.jpg	c_jar_screwdriver_on.jpg	9	8	6	7	1121139	1123155	1124172	1124705	1126721	1133548	6824
51	3	1	1	58	69	FN	behind	f_bag_giftboxred_behind.jpg	f_bag_giftboxred_right.jpg	f_bag_giftboxred_on.jpg	f_bag_giftboxred_in.jpg	6	8	9	7	1133818	1135834	1136850	1137384	1139400	1145761	6356
51	3	1	1	86	70	FBE	in	f_mug_paintbrushwood_in.jpg	f_mug_paintbrushwood_front.jpg	f_mug_paintbrushwood_behind.jpg	f_mug_paintbrushwood_on.jpg	6	8	7	9	1146097	1148113	1149129	1149679	1151695	1157201	5500
51	3	1	1	12	71	EC	left	c_jar_mandarin_left.jpg	c_jar_mandarin_right.jpg	c_jar_mandarin_front.jpg	c_jar_mandarin_in.jpg	9	6	8	7	1157510	1159526	1160542	1161075	1163091	1169363	6268
51	3	1	1	82	72	FBE	on	f_hat_waterbottle_on.jpg	f_hat_waterbottle_front.jpg	f_hat_waterbottle_behind.jpg	f_hat_waterbottle_in.jpg	9	7	8	6	1169706	1171722	1172738	1173271	1175287	1182660	7369
51	3	1	1	49	73	FN	on	f_cookingpot_spatula2plastic_on.jpg	f_cookingpot_spatula2plastic_left.jpg	f_cookingpot_spatula2plastic_front.jpg	f_cookingpot_spatula2plastic_in.jpg	9	7	6	8	1182951	1184967	1185983	1186516	1188532	1196182	7648
51	3	1	1	25	74	EN	right	n_plantpot_handfan_right.jpg	n_plantpot_handfan_behind.jpg	n_plantpot_handfan_in.jpg	n_plantpot_handfan_on.jpg	6	8	7	9	1196463	1198479	1199495	1200028	1202044	1208618	6570
51	3	1	1	44	75	FC	behind	f_slipper_giftbox2metal_behind.jpg	f_slipper_giftbox2metal_left.jpg	f_slipper_giftbox2metal_right.jpg	f_slipper_giftbox2metal_in.jpg	9	7	6	8	1208942	1210958	1211974	1212507	1214523	1221053	6526
51	3	1	1	29	76	EN	left	n_moneybox_straw_left.jpg	n_moneybox_straw_front.jpg	n_moneybox_straw_on.jpg	n_moneybox_straw_in.jpg	6	7	9	8	1221371	1223387	1224403	1224936	1226952	1233602	6645
51	3	1	1	40	77	FC	front	f_box_hairdryer_front.jpg	f_box_hairdryer_left.jpg	f_box_hairdryer_right.jpg	f_box_hairdryer_in.jpg	7	6	9	8	1233916	1235932	1236949	1237482	1239498	1246477	6974
51	3	1	1	43	78	FC	in	f_cookingpot_pepperred_in.jpg	f_cookingpot_pepperred_left.jpg	f_cookingpot_pepperred_right.jpg	f_cookingpot_pepperred_front.jpg	9	8	6	7	1246779	1248795	1249811	1250344	1252360	1257879	5515
51	3	1	1	19	79	EN	right	n_cup_fork_right.jpg	n_cup_fork_behind.jpg	n_cup_fork_on.jpg	n_cup_fork_in.jpg	8	7	9	6	1258275	1260290	1261307	1261840	1263856	1271176	7316
